"id","condition","random_BIC","level1_1_theta","level1_1_BIC","level1_3_theta1","level1_3_theta2","level1_3_theta3","level1_3_BIC","level2_1_theta","level2_1_BIC","level2_3_theta1","level2_3_theta2","level2_3_theta3","level2_3_BIC","level3_1_theta","level3_1_BIC","level3_3_theta1","level3_3_theta2","level3_3_theta3","level3_3_BIC","WSLS_1_theta","WSLS_1_BIC","WSLS_3_theta1","WSLS_3_theta2","WSLS_3_theta3","WSLS_3_BIC"
"G1UYl_ZdFvPn_auuAAA0","Level1",380.666248977032,6.61069613518961e-05,385.684950513399,2.09837554390262e-44,4.50967255607399e-18,1.45204296059113e-15,395.698154859321,0.624032143839907,251.722505151282,0.510208413631415,0.418252598886974,0.872398769861147,244.667717643381,0.473177266279952,307.723368118156,0.418387966732114,0.265425049223682,0.668378855158699,308.341764645514,6.61069613518961e-05,385.690767690046,1.3093279602425e-16,4.48233109852802e-47,1.81716050556048e-18,395.698154859321
"cpNjZm4TSPEFe4-IAABs","Level1",380.666248977032,6.61069613518961e-05,385.682174243858,4.48233109852802e-47,1.3093279602425e-16,1.81716050556048e-18,395.698154859321,0.110377376099373,380.837663376327,1.35398135375207e-06,0.0201972550254313,0.234670563011864,386.548226274925,6.61069613518961e-05,385.682570610367,0.0511841740940996,2.99058264646283e-05,7.53961650193475e-08,395.447323495548,6.61069613518961e-05,385.682438619272,2.660472815363e-20,3.37904289767908e-58,3.09093468529086e-17,395.698154859321
"wsI-VTgA8Q7jaUGqAAAQ","Level1",380.666248977032,6.61069613518961e-05,385.684025264985,3.0909346852909e-17,3.37904289767601e-58,2.6604728153633e-20,395.698154859321,0.36781220416189,344.366173958723,0.54080303848043,0.632756246487383,0.0561911024632513,332.130739082696,0.276163542545743,362.299704529126,0.449173964931645,0.540783486851207,1.49368787024867e-06,350.920042558864,6.61069613518961e-05,385.691957576024,1.81716050555956e-18,1.30932796024229e-16,4.48233109852789e-47,395.698154859321
"2Icz3DkcGwi230swAABw","Level2",380.666248977032,4.9104435253383e-05,385.677965443934,0.112365162029692,8.60965648052466e-07,1.35363820707089e-07,394.502653301374,6.61069613518961e-05,385.679926594071,1.85346365730358e-07,0.0206146834092447,8.49653291218944e-08,395.657616411462,0.0778148063090635,383.444608978353,4.37321454970839e-07,0.204186132028136,0.056137310819376,391.236012519483,7.35072605308023e-05,385.677474274239,0.112070002974421,2.81760084558675e-06,5.74423841915792e-07,394.50265165345
"0n-ueZ_Y59EpoZdSAAAe","Level1",380.666248977032,6.61069613518961e-05,385.686669281281,1.80456520275336e-16,1.47751276662323e-20,9.98699057086232e-16,395.698154859321,0.725183526526816,208.166988585147,0.265293421202385,0.999999975243821,0.872483354492107,169.982577596272,0.591739500881135,268.240044356702,0.142752874679088,0.908136949518514,0.693835957088356,242.940827596701,6.61069613518961e-05,385.692221951439,4.48233109852802e-47,1.3093279602425e-16,1.81716050556048e-18,395.698154859321
"DuD-LPjDw4N2S-63AAB6","Level1",380.666248977032,6.61069613518961e-05,385.687330547506,2.29469399817575e-08,5.15466155275111e-10,0.00510699056666448,395.693080042934,0.569744042637053,285.28465196587,0.510191959316482,0.999999989968124,0.285743470197148,251.289470948523,0.437831758917594,327.395023299573,0.357140652427253,0.969416113664702,0.107140202908607,285.502819072648,6.61069613518961e-05,385.689974563802,9.00062521527568e-14,6.19352005233479e-13,5.11629650477475e-15,395.698154859387
"rZNY1f0WR1tWMQF4AABm","Level2",380.666248977032,6.61069613518961e-05,385.684686400134,1.27853726388445e-13,4.56514171423969e-08,0.03054924950267,395.519759231369,0.108749617791034,382.026405960648,0.0510412793858305,0.601983432632971,4.17351831573841e-08,362.501242603492,0.15402182064893,378.275626596657,0.29587483968046,0.418604975554222,1.44415816884843e-07,371.777020693148,0.148952915053118,376.357153626867,2.12949749353199e-06,1.55838776075647e-11,0.438799836632866,366.387538944721
"FXzVIP95gQOHYZ25AAAw","Level1",380.666248977032,6.61069613518961e-05,385.689313428653,4.48233109852802e-47,1.3093279602425e-16,1.81716050556048e-18,395.698154859321,0.700310430543546,228.723407172308,0.60201980816118,0.999999989103273,0.540804692301158,211.707796940699,0.471415622024644,316.759480802931,0.387973559243987,0.908091684351918,0.209230024873875,293.755704481924,6.61069613518961e-05,385.694733845565,1.81716050556038e-18,4.48233109852789e-47,1.30932796024259e-16,395.698154859321
"OKTUZhRu5vEV8REOAABU","Level2",380.666248977032,6.61069613518961e-05,385.694072841491,1.3093279602425e-16,4.48233109852802e-47,1.81716050556048e-18,395.698154859321,0.752341971170684,196.538711358659,0.724498195950623,0.693791502551885,0.821443673149318,204.911214482815,0.837463563495579,149.815195733095,0.846890724327497,0.816359376169995,0.846940996003621,159.693455510973,6.61069613518961e-05,385.692486326853,1.81716050556038e-18,4.48233109852789e-47,1.30932796024259e-16,395.698154859321
"hkwYQrDHoPaA4yMaAABg","Level2",380.666248977032,6.61069613518961e-05,385.683099754421,1.13764790575615e-20,1.32497778064628e-16,3.23669184444745e-20,395.698154859321,6.61069613518961e-05,385.681248602219,2.97547715281952e-06,0.0814595660577832,8.97677749757202e-08,395.060897020398,0.142868858388529,378.737546125575,0.234668205910526,0.234855703960624,0.0305923665231535,385.322496077267,0.171948459416773,374.03863374476,0.204090722156502,4.41645331852736e-08,0.362345898450847,371.320258716772
"wuPP0rwjmFrZ1QlRAAAK","Level1",380.666248977032,0.114859140815547,380.92718496679,0.234951877355225,0.0511772508676691,0.0818011112404657,389.133077474901,6.61069613518961e-05,385.683363998761,4.30658956514028e-15,1.40607783240274e-16,2.92619846723482e-32,395.698154859321,6.43817411953892e-05,385.677658418707,2.97971253928142e-12,3.67025938973691e-33,6.4914508445685e-21,395.698154859327,5.15480674044079e-05,385.678122333458,0.173316148188543,1.34407338640596e-06,3.00499507072207e-07,392.881469190702
"HE1L_7f92p8RhgaIAAAc","Level2",380.666248977032,6.61069613518961e-05,385.679926725146,1.81716050556038e-18,4.48233109852789e-47,1.30932796024259e-16,395.698154859321,0.127263885871947,380.277492282834,3.0914121309929e-08,0.540995611335366,7.03165788297785e-07,369.192942663239,0.0176313932403167,385.554808668139,0.0204730960281296,2.39982443516785e-06,0.0307481162233776,395.47921749419,6.61069613518961e-05,385.682570741442,2.69480751157931e-16,4.58779414752321e-46,1.31990188870378e-26,395.698154859321
"iDh62P2wg6ao1dSUAACk","Level2",380.666248977032,0.026716036212304,385.388120424288,3.18471704962369e-07,1.87137862392513e-06,0.0815125647065835,394.482793722275,6.61069613518961e-05,385.689974694877,6.79474281238254e-59,1.40058848911168e-20,1.24982285836601e-18,395.698154859321,6.61069613518961e-05,385.678604585923,2.99058264646283e-05,0.0511841740940996,7.5396165019347e-08,395.447318971779,0.211336329910422,372.121888235977,0.387813976773551,0.510191388423837,5.29442289789845e-09,358.448734990174
