"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","theta_no_transfer","eps_transfer","eps_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","EWA_self_2LL","EWA_self_BIC","EWA_self_Lambda","EWA_states_BIC","EWA_states_Lambda","MBM_BIC","MBM_beta","MBM_alpha"
"wsI-VTgA8Q7jaUGqAAAQ","Level1",380.666248977032,348.982391840514,344.992830609583,0.195332706219081,0.0479590522511924,0.624434667278331,0.55588426047432,390.687519565225,5.51836910912106,0,305.612960016421,0.0866663465838158,0.0468069269830835,400.39229132342,380.349750147035,1.00473801892482,0.99999999996313,0.999999999996554,0.427156402893918,380.666248977032,385.676884271128,8.65693391110245e-16,309.109367175974,2.39001721792996,316.515117022054,0.8435014909434,0.560517452912342
"2Icz3DkcGwi230swAABw","Level2",380.666248977032,387.602007737243,387.517534593542,0.0279567751244741,0.0517228860254472,0.898776089188046,0.891555756353012,390.516045451426,0.00266672681465715,5.85541184515455e-05,388.399391626648,4.01511734774611,0.995958528371528,400.642382746942,380.599841570557,1.06374850816662,0.727834760195724,0.962869147860559,0.199840153688761,380.355364216349,385.365999510445,0.277864712169284,381.208123595709,0.621306488801024,388.31370076538,4.30605605227739,0.229247145737439
"0n-ueZ_Y59EpoZdSAAAe","Level1",380.666248977032,186.894169250922,193.814479614935,0.0399988492163654,0.0509648454087685,0.171850669230524,0.15240217079701,390.687519565225,6.31205077189158,0,168.771711878281,0.179577575566809,0.310974268091314,399.476670493913,379.434129317528,0.010000000074399,0.999999999941842,0.999999999308509,1.08405140492452,380.666248977032,385.676884271128,5.48951277233317e-16,199.41750719442,3.80609992685349,177.686274995695,0.506024428393485,0.127930900947823
"DuD-LPjDw4N2S-63AAB6","Level1",380.666248977032,289.936259103322,291.732427090355,0.0260382558624741,0.0318014195817177,0.376055570178546,0.33735685234767,390.687519565225,6.08782840302044,0,263.765577149401,0.219791354641485,0.162782673060382,400.468910988913,380.426369812528,1.15860062882089,0.999850865039614,0.999998949866695,0.010000525102653,380.666248977032,385.676884271128,1.70854836293021e-16,273.954418060271,3.06461837855912,269.185230011979,0.815582781461147,0.205961839824673
"rZNY1f0WR1tWMQF4AABm","Level2",380.666248977032,383.324783834432,382.625681614285,0.255666575510463,0.0572281293694088,0.844863658660099,0.809346531396007,390.687519565225,5.17741124755366,0,330.718056425212,0.601607597465979,0.417644575397849,400.6104317,380.567890523615,1.18296724891859,0.0101773645392771,0.99999985578526,0.0100000226110003,380.666248977032,385.676884271128,2.13052114526629e-16,371.718183150859,1.09917428218169,329.603312881174,0.902582532778871,0.910143558658259
"FXzVIP95gQOHYZ25AAAw","Level1",380.666248977032,218.875340568517,214.15091101556,0.0606157281963962,0.101097436721503,0.23471386030338,0.213075065203234,390.644463622367,3.28385887473145,0.037300309386502,168.905601434379,0.0490143365974131,0.0536413085115681,397.505466460865,377.46292528448,0.0100000000541787,0.999999999780306,0.999999999690667,1.78899182135938,380.666248977032,385.676884271128,3.06287161432849e-16,207.349257170892,3.70913963158956,162.15989724244,0.378944244600566,0.97879696658031
"OKTUZhRu5vEV8REOAABU","Level2",380.666248977032,153.515288845969,140.732313314351,0.0805714372905056,0.140539945990653,0.138821628360871,0.106557773339246,390.687519565225,7.79516022862002,0,111.345787069411,0.145170308066182,0.428850683921549,400.709854812661,380.667313636276,1.11440067531969,0.999999937046115,0.999999997803621,0.0100000019196143,380.666248977032,385.676884271128,2.83181243218467e-16,99.4414873129968,8.85582547177248,114.771180095251,0.29902062196502,0.514438676863228
"hkwYQrDHoPaA4yMaAABg","Level2",380.666248977032,383.471366546735,384.140885576391,0.223963737875811,0.264853234973448,0.852043279214991,0.857000399186256,390.687519565225,10,0,374.246452270247,0.878204793518831,0.341621480500096,400.650013957485,380.6074727811,0.0100000004085145,0.999999998740529,0.999999999998326,0.233695766903816,380.666248977032,385.676884271128,3.17743519615358e-16,377.457944271523,0.830424174397346,375.055217374906,1.97253027919535,0.523317001830178
"wuPP0rwjmFrZ1QlRAAAK","Level1",380.666248977032,391.297773174613,391.10451224943,0.01,0.01,0.99,0.99,387.097630397365,1,0.1,387.166182613716,1.33547189594635,0.262779672164972,388.843874238521,368.801333062136,0.603685749491949,0.710446514198138,0.104035728300784,0.480892527677375,371.338701247123,376.349336541219,1.0965777708046,385.676884271128,1.28915348657218e-16,389.001394839695,4.06048785843022,0.205965500557795
"HE1L_7f92p8RhgaIAAAc","Level2",380.666248977032,390.100244169417,390.009609656567,0.01,0.01,0.94701352239116,0.921301044860255,390.687519565225,4.06385667053633,0,388.48172924969,2.40091528647093,0.394425760667204,400.296006266556,380.253465090171,0.860119794646434,0.0100000000716001,0.0100004747861737,0.0896247651923789,379.347713797693,384.35834909179,0.584701314435448,385.676884271128,1.92648380501115e-15,388.646873581786,4.34510389624082,0.244820964975009
